-1,Unknown
0,Black
1,Blue
2,Green
4,Red
5,Dark Pink
6,Brown
7,Light Gray
8,Dark Gray
9,Light Blue
10,Bright Green
13,Pink
14,Yellow
15,White
17,Light Green
18,Light Yellow
19,Tan
1001,Medium Violet
23,Dark Blue-Violet
25,Orange
26,Magenta
27,Lime
28,Dark Tan
33,Trans-Dark Blue
34,Trans-Green
35,Trans-Bright Green
36,Trans-Red
40,Trans-Black
41,Trans-Light Blue
43,Trans-Very Lt Blue
45,Trans-Dark Pink
46,Trans-Yellow
47,Trans-Clear
54,Trans-Neon Yellow
57,Trans-Neon Orange
60,Chrome Antique Brass
61,Chrome Blue
62,Chrome Green
63,Chrome Pink
64,Chrome Black
68,Very Light Orange
70,Reddish Brown
71,Light Bluish Gray
72,Dark Bluish Gray
73,Medium Blue
74,Medium Green
75,Speckle Black-Copper
76,Speckle DBGray-Silver
77,Light Pink
78,Light Flesh
79,Milky White
80,Metallic Silver
81,Metallic Green
82,Metallic Gold
84,Medium Dark Flesh
85,Dark Purple
86,Dark Flesh
89,Royal Blue
92,Flesh
110,Violet
112,Blue-Violet
114,Glitter Trans-Dark Pink
115,Medium Lime
117,Glitter Trans-Clear
120,Light Lime
125,Light Orange
132,Speckle Black-Silver
134,Copper
135,Pearl Light Gray
137,Metal Blue
142,Pearl Light Gold
143,Trans-Medium Blue
148,Pearl Dark Gray
150,Pearl Very Light Gray
151,Very Light Bluish Gray
178,Flat Dark Gold
179,Flat Silver
182,Trans-Orange
183,Pearl White
191,Bright Light Orange
212,Bright Light Blue
226,Bright Light Yellow
272,Dark Blue
294,Glow In Dark Trans
308,Dark Brown
313,Maersk Blue
320,Dark Red
321,Dark Azure
322,Medium Azure
326,Olive Green
334,Chrome Gold
335,Sand Red
351,Medium Dark Pink
366,Earth Orange
378,Sand Green
379,Sand Blue
383,Chrome Silver
450,Fabuland Brown
462,Medium Orange
484,Dark Orange
503,Very Light Gray
216,Rust
12,Salmon
297,Pearl Gold
288,Dark Green
118,Aqua
323,Light Aqua
11,Light Turquoise
232,Sky Blue
22,Purple
42,Trans-Neon Green
373,Sand Purple
236,Trans-Light Purple
30,Medium Lavender
31,Lavender
69,Light Purple
29,Bright Pink
230,Trans-Pink
100,Light Salmon
3,Dark Turquoise
20,Light Violet
52,Trans-Purple
32,Trans-Black IR Lens
9999,(No Color)
133,Speckle Black-Gold
129,Glitter Trans-Purple
158,Yellowish Green
1000,Glow in Dark White
1002,Glitter Trans-Neon Green
21,Glow In Dark Opaque
1003,Glitter Trans-Light Blue
1004,Trans Flame Yellowish Orange
1005,Trans Fire Yellow
1006,Trans Light Royal Blue
1007,Reddish Lilac
